eventid,iyear,imonth,iday,country_txt,region_txt,city,attacktype1_txt,targtype1_txt,gname,weaptype1_txt,nkill,nwound,summary
1970000085,1972,11,23,Poland,Eastern Europe,Gdansk,Unarmed Assault,Religious Figures/Institutions,Unknown,Incendiary,1,8,Improvised explosive device targeting religious figures/institutions detonated in Gdansk; Unknown suspected.
1970000086,1972,1,21,Russia,Eastern Europe,Moscow,Unarmed Assault,Educational Institution,Far-right militia,Melee,8,16,"Far-right militia conducted a Unarmed Assault on a educational institution target in Moscow, causing 8 deaths."
1970000087,1972,8,4,Romania,Eastern Europe,Bucharest,Hijacking,Government (General),Far-right militia,Sabotage Equipment,1,10,Hijacking targeting Government (General) in Bucharest; 1 fatalities. Claim by Far-right militia.
1970000088,1972,5,15,Syria,Middle East & North Africa,Homs,Facility/Infrastructure Attack,Government (General),Hezbollah-aligned,Explosives,3,6,Hezbollah-aligned attacked Government (General) in Homs using explosives. 3 killed and 6 wounded reported.
1970000089,1972,7,5,Egypt,Middle East & North Africa,Sinai,Hostage Taking (Kidnapping),Police,PKK-aligned,Explosives,15,0,"PKK-aligned conducted a Hostage Taking (Kidnapping) on a police target in Sinai, causing 15 deaths."
1970000090,1972,11,18,Syria,Middle East & North Africa,Aleppo,Facility/Infrastructure Attack,Military,PKK-aligned,Firearms,1,3,"PKK-aligned conducted a Facility/Infrastructure Attack on a military target in Aleppo, causing 1 deaths."
1970000091,1972,9,10,Lebanon,Middle East & North Africa,Sidon,Hijacking,Police,Al-Qaeda affiliate,Sabotage Equipment,1,8,Improvised explosive device targeting police detonated in Sidon; Al-Qaeda affiliate suspected.
1970000092,1972,6,10,Mali,Sub-Saharan Africa,Timbuktu,Hostage Taking (Kidnapping),Business,Boko Haram,Firearms,0,0,"Boko Haram conducted a Hostage Taking (Kidnapping) on a business target in Timbuktu, causing 0 deaths."
1970000093,1972,8,20,Nigeria,Sub-Saharan Africa,Maiduguri,Armed Assault,Military,JNIM-affiliated,Vehicle (non-explosive),11,34,Armed Assault targeting Military in Maiduguri; 11 fatalities. Claim by JNIM-affiliated.
1970000094,1972,6,15,Sudan,Sub-Saharan Africa,Darfur,Facility/Infrastructure Attack,Religious Figures/Institutions,Al-Shabaab,Sabotage Equipment,3,3,"Al-Shabaab conducted a Facility/Infrastructure Attack on a religious figures/institutions target in Darfur, causing 3 deaths."
1970000095,1972,7,27,Sudan,Sub-Saharan Africa,Darfur,Hijacking,Private Citizens & Property,Unknown,Vehicle (non-explosive),3,1,Improvised explosive device targeting private citizens & property detonated in Darfur; Unknown suspected.
1970000096,1972,3,13,Afghanistan,South Asia,Kandahar,Armed Assault,Terrorists/Non-State Militia,Maoist insurgents,Melee,1,2,Improvised explosive device targeting terrorists/non-state militia detonated in Kandahar; Maoist insurgents suspected.
1970000097,1972,6,8,India,South Asia,Bangalore,Hostage Taking (Kidnapping),Business,Lashkar-e-Taiba,Sabotage Equipment,3,5,Hostage Taking (Kidnapping) targeting Business in Bangalore; 3 fatalities. Claim by Lashkar-e-Taiba.
1970000098,1972,5,15,India,South Asia,Mumbai,Bombing/Explosion,Religious Figures/Institutions,Unknown,Firearms,1,10,Improvised explosive device targeting religious figures/institutions detonated in Mumbai; Unknown suspected.
1970000099,1972,5,12,Pakistan,South Asia,Quetta,Armed Assault,Military,Unknown,Incendiary,0,10,Unknown attacked Military in Quetta using incendiary. 0 killed and 10 wounded reported.
1970000100,1972,9,17,Thailand,Southeast Asia,Bangkok,Hostage Taking (Kidnapping),Journalists & Media,Abu Sayyaf Group,Vehicle (non-explosive),8,22,Abu Sayyaf Group attacked Journalists & Media in Bangkok using vehicle (non-explosive). 8 killed and 22 wounded reported.
1970000101,1972,3,9,Thailand,Southeast Asia,Bangkok,Facility/Infrastructure Attack,Journalists & Media,Unknown,Chemical,1,4,Unknown attacked Journalists & Media in Bangkok using chemical. 1 killed and 4 wounded reported.
1970000102,1972,8,1,Thailand,Southeast Asia,Pattani,Bombing/Explosion,Transportation,BIFF,Incendiary,3,2,"BIFF conducted a Bombing/Explosion on a transportation target in Pattani, causing 3 deaths."
1970000103,1972,11,3,Philippines,Southeast Asia,Manila,Armed Assault,Terrorists/Non-State Militia,Abu Sayyaf Group,Explosives,2,8,Improvised explosive device targeting terrorists/non-state militia detonated in Manila; Abu Sayyaf Group suspected.
1970000104,1972,6,11,South Korea,East Asia,Busan,Hijacking,Educational Institution,Unknown,Vehicle (non-explosive),8,5,Improvised explosive device targeting educational institution detonated in Busan; Unknown suspected.
1970000105,1972,9,27,Taiwan,East Asia,Taipei,Facility/Infrastructure Attack,Journalists & Media,Domestic militant cell,Firearms,15,2,Improvised explosive device targeting journalists & media detonated in Taipei; Domestic militant cell suspected.
1970000106,1972,12,26,Japan,East Asia,Osaka,Hijacking,Private Citizens & Property,Unknown,Incendiary,3,1,Improvised explosive device targeting private citizens & property detonated in Osaka; Unknown suspected.
1970000107,1972,8,27,China,East Asia,Kunming,Facility/Infrastructure Attack,Educational Institution,Unknown,Explosives,2,9,Improvised explosive device targeting educational institution detonated in Kunming; Unknown suspected.
1970000108,1972,1,7,Mexico,North America,Tijuana,Hijacking,Terrorists/Non-State Militia,Lone-wolf attacker,Sabotage Equipment,3,2,Improvised explosive device targeting terrorists/non-state militia detonated in Tijuana; Lone-wolf attacker suspected.
1970000109,1972,11,11,United States,North America,Oklahoma City,Armed Assault,Business,Unknown,Explosives,8,8,Coordinated Armed Assault on Business in Oklahoma City. Attribution to Unknown.
1970000110,1972,9,23,Mexico,North America,Juárez,Armed Assault,NGO,Far-right cell,Explosives,3,7,Coordinated Armed Assault on NGO in Juárez. Attribution to Far-right cell.
1970000111,1972,8,22,Mexico,North America,Juárez,Unarmed Assault,Terrorists/Non-State Militia,Lone-wolf attacker,Incendiary,7,31,Unarmed Assault targeting Terrorists/Non-State Militia in Juárez; 7 fatalities. Claim by Lone-wolf attacker.
1970000112,1972,9,4,Peru,South America,Lima,Unarmed Assault,Terrorists/Non-State Militia,Shining Path remnants,Explosives,2,8,Unarmed Assault targeting Terrorists/Non-State Militia in Lima; 2 fatalities. Claim by Shining Path remnants.
1970000113,1972,11,10,Brazil,South America,São Paulo,Assassination,Utilities,Unknown,Incendiary,2,1,Assassination targeting Utilities in São Paulo; 2 fatalities. Claim by Unknown.
1970000114,1972,10,16,Argentina,South America,Rosario,Unarmed Assault,Terrorists/Non-State Militia,Unknown,Sabotage Equipment,1,7,Unknown attacked Terrorists/Non-State Militia in Rosario using sabotage equipment. 1 killed and 7 wounded reported.
1970000115,1972,4,20,Brazil,South America,São Paulo,Assassination,Business,ELN,Incendiary,6,31,Coordinated Assassination on Business in São Paulo. Attribution to ELN.
1970000116,1972,9,21,Guatemala,Central America & Caribbean,Guatemala City,Hijacking,Police,Local insurgent cell,Incendiary,1,2,"Local insurgent cell conducted a Hijacking on a police target in Guatemala City, causing 1 deaths."
1970000117,1972,2,2,Honduras,Central America & Caribbean,Tegucigalpa,Bombing/Explosion,Terrorists/Non-State Militia,Unknown,Vehicle (non-explosive),0,9,"Unknown conducted a Bombing/Explosion on a terrorists/non-state militia target in Tegucigalpa, causing 0 deaths."
1970000118,1972,8,17,El Salvador,Central America & Caribbean,San Salvador,Armed Assault,Terrorists/Non-State Militia,Local insurgent cell,Sabotage Equipment,0,0,Local insurgent cell attacked Terrorists/Non-State Militia in San Salvador using sabotage equipment. 0 killed and 0 wounded reported.
1970000119,1972,9,19,Honduras,Central America & Caribbean,Tegucigalpa,Armed Assault,Educational Institution,Local insurgent cell,Sabotage Equipment,3,8,Armed Assault targeting Educational Institution in Tegucigalpa; 3 fatalities. Claim by Local insurgent cell.
1970000120,1973,11,19,France,Western Europe,Marseille,Bombing/Explosion,Religious Figures/Institutions,Unknown,Vehicle (non-explosive),0,6,Bombing/Explosion targeting Religious Figures/Institutions in Marseille; 0 fatalities. Claim by Unknown.
1970000121,1973,5,21,Spain,Western Europe,Madrid,Bombing/Explosion,Transportation,Unknown,Chemical,3,2,Unknown attacked Transportation in Madrid using chemical. 3 killed and 2 wounded reported.
1970000122,1973,6,8,Germany,Western Europe,Berlin,Armed Assault,Private Citizens & Property,IRA-aligned militants,Vehicle (non-explosive),3,4,Improvised explosive device targeting private citizens & property detonated in Berlin; IRA-aligned militants suspected.
1970000123,1973,9,13,France,Western Europe,Paris,Assassination,Government (General),Far-right cell,Vehicle (non-explosive),0,4,"Far-right cell conducted a Assassination on a government (general) target in Paris, causing 0 deaths."
1970000124,1973,5,20,Russia,Eastern Europe,St Petersburg,Assassination,Journalists & Media,Unknown,Vehicle (non-explosive),3,10,"Unknown conducted a Assassination on a journalists & media target in St Petersburg, causing 3 deaths."
1970000125,1973,4,11,Russia,Eastern Europe,Moscow,Bombing/Explosion,Military,Chechen militants,Incendiary,3,3,Bombing/Explosion targeting Military in Moscow; 3 fatalities. Claim by Chechen militants.
1970000126,1973,5,26,Ukraine,Eastern Europe,Donetsk,Armed Assault,NGO,Chechen militants,Explosives,8,3,Improvised explosive device targeting ngo detonated in Donetsk; Chechen militants suspected.
1970000127,1973,8,21,Belarus,Eastern Europe,Minsk,Armed Assault,Utilities,Unknown,Chemical,1,0,Coordinated Armed Assault on Utilities in Minsk. Attribution to Unknown.
1970000128,1973,10,14,Syria,Middle East & North Africa,Aleppo,Unarmed Assault,Transportation,Hamas-aligned,Melee,0,10,Hamas-aligned attacked Transportation in Aleppo using melee. 0 killed and 10 wounded reported.
1970000129,1973,3,18,Syria,Middle East & North Africa,Homs,Unarmed Assault,Journalists & Media,ISIL-affiliated,Incendiary,1,5,Improvised explosive device targeting journalists & media detonated in Homs; ISIL-affiliated suspected.
1970000130,1973,4,26,Lebanon,Middle East & North Africa,Tyre,Facility/Infrastructure Attack,Religious Figures/Institutions,Hamas-aligned,Firearms,2,9,Improvised explosive device targeting religious figures/institutions detonated in Tyre; Hamas-aligned suspected.
